Func_id,Func_name,MMB1,MMB2,MSB1,MSB2,Sum
COG0054,Riboflavin synthase beta-chain,0,3,27,7,37
COG0055,"F0F1-type ATP synthase, beta subunit",4,3,13,7,27
COG0056,"F0F1-type ATP synthase, alpha subunit",3,5,17,7,32
COG0057,Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase,1,15,29,10,55
COG0058,Glucan phosphorylase,1,6,0,24,31
COG0059,Ketol-acid reductoisomerase,0,1,13,5,19
COG0060,Isoleucyl-tRNA synthetase,4,7,37,22,70
COG0061,Predicted sugar kinase,0,2,17,6,25
COG0062,Uncharacterized conserved protein,0,2,0,2,4
COG0063,Predicted sugar kinase,2,2,12,6,22
COG0064,Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit (PET112 homolog),0,5,18,12,35
COG0065,3-isopropylmalate dehydratase large subunit,4,4,29,14,51
COG0066,3-isopropylmalate dehydratase small subunit,0,1,17,7,25
COG0067,Glutamate synthase domain 1,0,2,15,5,22
COG0068,Hydrogenase maturation factor,0,2,1,7,10
COG0069,Glutamate synthase domain 2,3,4,38,4,49
COG0070,Glutamate synthase domain 3,2,4,0,2,8
COG0071,Molecular chaperone (small heat shock protein),2,10,0,31,43
COG0072,Phenylalanyl-tRNA synthetase beta subunit,1,8,30,15,54
COG0073,EMAP domain,0,3,10,3,16
COG0074,"Succinyl-CoA synthetase, alpha subunit",2,2,15,7,26
COG0075,Serine-pyruvate aminotransferase/archaeal aspartate aminotransferase,0,6,32,27,65
COG0076,Glutamate decarboxylase and related PLP-dependent proteins,1,3,11,12,27
COG0077,Prephenate dehydratase,0,5,31,5,41
COG0078,Ornithine carbamoyltransferase,0,6,9,10,25
COG0079,Histidinol-phosphate/aromatic aminotransferase and cobyric acid decarboxylase,0,11,40,18,69
COG0080,Ribosomal protein L11,1,0,15,3,19
COG0081,Ribosomal protein L1,3,3,18,9,33
COG0082,Chorismate synthase,2,5,20,11,38
COG0083,Homoserine kinase,0,0,26,5,31
COG0084,Mg-dependent DNase,0,2,9,7,18
COG0085,"DNA-directed RNA polymerase, beta subunit/140 kD subunit",10,10,26,27,73
COG0086,"DNA-directed RNA polymerase, beta' subunit/160 kD subunit",16,3,25,21,65
COG0087,Ribosomal protein L3,0,2,23,4,29
COG0088,Ribosomal protein L4,1,1,18,3,23
COG0089,Ribosomal protein L23,5,4,17,5,31
COG0090,Ribosomal protein L2,6,2,23,5,36
COG0091,Ribosomal protein L22,5,2,17,3,27
COG0092,Ribosomal protein S3,2,5,20,8,35
COG0093,Ribosomal protein L14,2,3,17,6,28
COG0094,Ribosomal protein L5,2,1,17,7,27
COG0095,Lipoate-protein ligase A,0,1,26,0,27
COG0096,Ribosomal protein S8,3,4,18,6,31
COG0097,Ribosomal protein L6P/L9E,1,3,16,5,25
COG0098,Ribosomal protein S5,3,2,23,7,35
COG0099,Ribosomal protein S13,3,2,8,3,16
COG0100,Ribosomal protein S11,1,1,9,3,14
COG0101,Pseudouridylate synthase,1,3,6,4,14
COG0102,Ribosomal protein L13,1,3,13,8,25
COG0103,Ribosomal protein S9,0,1,9,6,16
COG0104,Adenylosuccinate synthase,4,3,31,12,50
COG0105,Nucleoside diphosphate kinase,0,2,17,2,21
COG0106,Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase,0,2,16,5,23
COG0107,Imidazoleglycerol-phosphate synthase,0,3,18,3,24
COG0108,"3,4-dihydroxy-2-butanone 4-phosphate synthase",0,1,14,8,23
COG0109,Polyprenyltransferase (cytochrome oxidase assembly factor),0,5,9,6,20
COG0110,Acetyltransferase (isoleucine patch superfamily),0,2,61,5,68
COG0111,Phosphoglycerate dehydrogenase and related dehydrogenases,2,8,90,19,119
COG0112,Glycine/serine hydroxymethyltransferase,2,10,13,13,38
COG0113,Delta-aminolevulinic acid dehydratase,0,3,23,10,36
COG0114,Fumarase,0,3,21,6,30
COG0115,Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase,3,7,32,19,61
COG0116,Predicted N6-adenine-specific DNA methylase,0,2,0,0,2
COG0117,Pyrimidine deaminase,0,1,12,1,14
COG0118,Glutamine amidotransferase,0,3,9,4,16
COG0119,Isopropylmalate/homocitrate/citramalate synthases,3,6,72,26,107
COG0120,Ribose 5-phosphate isomerase,0,4,0,8,12
COG0121,Predicted glutamine amidotransferase,0,1,15,1,17
COG0122,3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase,0,1,28,14,43
COG0123,"Deacetylases, including yeast histone deacetylase and acetoin utilization protein",0,5,13,9,27
COG0124,Histidyl-tRNA synthetase,0,4,27,8,39
COG0125,Thymidylate kinase,0,4,33,13,50
COG0126,3-phosphoglycerate kinase,0,2,17,14,33
COG0127,Xanthosine triphosphate pyrophosphatase,0,4,16,6,26
COG0128,5-enolpyruvylshikimate-3-phosphate synthase,0,2,15,9,26
COG0129,Dihydroxyacid dehydratase/phosphogluconate dehydratase,2,7,66,15,90
COG0130,Pseudouridine synthase,6,2,16,6,30
COG0131,Imidazoleglycerol-phosphate dehydratase,0,2,15,1,18
COG0132,Dethiobiotin synthetase,0,1,0,1,2
COG0133,Tryptophan synthase beta chain,2,3,31,5,41
COG0134,Indole-3-glycerol phosphate synthase,1,5,13,5,24
COG0135,Phosphoribosylanthranilate isomerase,0,3,18,2,23
COG0136,Aspartate-semialdehyde dehydrogenase,0,3,16,13,32
COG0137,Argininosuccinate synthase,1,4,37,14,56
COG0138,AICAR transformylase/IMP cyclohydrolase PurH (only IMP cyclohydrolase domain in Aful),2,4,18,6,30
COG0139,Phosphoribosyl-AMP cyclohydrolase,1,1,15,4,21
COG0140,Phosphoribosyl-ATP pyrophosphohydrolase,0,1,16,1,18
COG0141,Histidinol dehydrogenase,2,3,24,5,34
COG0142,Geranylgeranyl pyrophosphate synthase,0,4,50,31,85
COG0143,Methionyl-tRNA synthetase,2,7,18,18,45
COG0144,tRNA and rRNA cytosine-C5-methylases,0,4,18,2,24
COG0145,"N-methylhydantoinase A/acetone carboxylase, beta subunit",2,4,3,5,14
COG0146,"N-methylhydantoinase B/acetone carboxylase, alpha subunit",1,1,0,11,13
COG0147,Anthranilate/para-aminobenzoate synthases component I,3,5,43,16,67
COG0148,Enolase,8,5,14,9,36
COG0149,Triosephosphate isomerase,0,3,17,5,25
COG0150,Phosphoribosylaminoimidazole (AIR) synthetase,0,14,20,7,41
COG0151,Phosphoribosylamine-glycine ligase,0,4,19,8,31
COG0152,Phosphoribosylaminoimidazolesuccinocarboxamide (SAICAR) synthase,0,4,27,12,43
COG0153,Galactokinase,0,2,13,5,20
COG0154,Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit and related amidases,6,19,71,30,126
COG0155,"Sulfite reductase, beta subunit (hemoprotein)",1,6,32,14,53
COG0156,7-keto-8-aminopelargonate synthetase and related enzymes,6,5,16,20,47
COG0157,Nicotinate-nucleotide pyrophosphorylase,1,7,17,7,32
COG0158,"Fructose-1,6-bisphosphatase",0,2,0,0,2
COG0159,Tryptophan synthase alpha chain,0,3,11,6,20
COG0160,4-aminobutyrate aminotransferase and related aminotransferases,0,10,31,23,64
COG0161,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase,8,10,25,13,56
COG0162,Tyrosyl-tRNA synthetase,0,3,9,17,29
COG0163,3-polyprenyl-4-hydroxybenzoate decarboxylase,2,2,2,9,15
COG0164,Ribonuclease HII,0,3,20,2,25
COG0165,Argininosuccinate lyase,2,8,5,13,28
COG0166,Glucose-6-phosphate isomerase,0,8,7,7,22
COG0167,Dihydroorotate dehydrogenase,1,5,21,13,40
COG0168,"Trk-type K+ transport systems, membrane components",0,3,47,0,50
COG0169,Shikimate 5-dehydrogenase,0,7,46,8,61
COG0170,Dolichol kinase,0,0,0,0,0
COG0171,NAD synthase,0,3,14,6,23
COG0172,Seryl-tRNA synthetase,2,5,13,14,34
COG0173,Aspartyl-tRNA synthetase,0,4,28,11,43
COG0174,Glutamine synthetase,1,15,42,22,80
COG0175,3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase and related enzymes,0,4,30,8,42
COG0176,Transaldolase,2,3,8,9,22
COG0177,Predicted EndoIII-related endonuclease,0,2,9,13,24
COG0178,Excinuclease ATPase subunit,10,17,67,43,137
COG0179,"2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)",0,8,133,15,156
COG0180,Tryptophanyl-tRNA synthetase,0,2,18,11,31
COG0181,Porphobilinogen deaminase,2,2,38,12,54
COG0182,"Predicted translation initiation factor 2B subunit, eIF-2B alpha/beta/delta family",2,1,1,10,14
COG0183,Acetyl-CoA acetyltransferase,2,26,168,33,229
COG0184,Ribosomal protein S15P/S13E,3,1,14,2,20
COG0185,Ribosomal protein S19,0,2,16,2,20
COG0186,Ribosomal protein S17,6,4,18,3,31
COG0187,"Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), B subunit",9,12,40,13,74
COG0188,"Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit",4,11,42,20,77
COG0189,Glutathione synthase/Ribosomal protein S6 modification enzyme (glutaminyl transferase),1,3,3,7,14
COG0190,"5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase",0,2,29,16,47
COG0191,Fructose/tagatose bisphosphate aldolase,0,2,15,2,19
COG0192,S-adenosylmethionine synthetase,0,14,21,11,46
COG0193,Peptidyl-tRNA hydrolase,0,1,15,2,18
COG0194,Guanylate kinase,1,2,12,2,17
COG0195,Transcription elongation factor,2,4,17,4,27
COG0196,FAD synthase,3,5,14,6,28
COG0197,Ribosomal protein L16/L10E,2,3,18,3,26
COG0198,Ribosomal protein L24,2,6,12,11,31
COG0199,Ribosomal protein S14,1,2,9,1,13
COG0200,Ribosomal protein L15,2,2,16,3,23
COG0201,Preprotein translocase subunit SecY,2,5,12,16,35
COG0202,"DNA-directed RNA polymerase, alpha subunit/40 kD subunit",2,5,10,10,27
COG0203,Ribosomal protein L17,0,1,10,3,14
COG0204,1-acyl-sn-glycerol-3-phosphate acyltransferase,1,9,52,12,74
COG0205,6-phosphofructokinase,2,7,14,10,33
COG0206,Cell division GTPase,0,3,20,7,30
COG0207,Thymidylate synthase,0,2,13,1,16
COG0208,"Ribonucleotide reductase, beta subunit",1,11,19,0,31
COG0209,"Ribonucleotide reductase, alpha subunit",1,18,27,21,67
COG0210,Superfamily I DNA and RNA helicases,3,19,117,22,161
COG0211,Ribosomal protein L27,0,1,11,1,13
COG0212,5-formyltetrahydrofolate cyclo-ligase,0,1,10,3,14
COG0213,Thymidine phosphorylase,0,0,12,2,14
COG0214,Pyridoxine biosynthesis enzyme,0,0,33,5,38
COG0215,Cysteinyl-tRNA synthetase,5,3,36,16,60
COG0216,Protein chain release factor A,0,10,16,8,34
COG0217,Uncharacterized conserved protein,4,3,31,7,45
COG0218,Predicted GTPase,0,7,0,0,7
COG0219,Predicted rRNA methylase (SpoU class),0,2,12,3,17
COG0220,Predicted S-adenosylmethionine-dependent methyltransferase,0,1,20,0,21
COG0221,Inorganic pyrophosphatase,1,1,16,6,24
COG0222,Ribosomal protein L7/L12,0,1,14,0,15
COG0223,Methionyl-tRNA formyltransferase,1,7,31,6,45
COG0224,"F0F1-type ATP synthase, gamma subunit",1,1,20,4,26
COG0225,Peptide methionine sulfoxide reductase,0,3,21,11,35
COG0226,"ABC-type phosphate transport system, periplasmic component",0,6,31,10,47
COG0227,Ribosomal protein L28,0,1,15,4,20
COG0228,Ribosomal protein S16,0,1,14,2,17
COG0229,Conserved domain frequently associated with peptide methionine sulfoxide reductase,0,2,15,8,25
COG0230,Ribosomal protein L34,0,0,0,0,0
COG0231,Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A),0,1,13,10,24
COG0232,dGTP triphosphohydrolase,0,1,30,8,39
COG0233,Ribosome recycling factor,2,3,16,5,26
COG0234,Co-chaperonin GroES (HSP10),5,3,14,3,25
COG0235,Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases,0,7,14,18,39
COG0236,Acyl carrier protein,2,6,13,6,27
COG0237,Dephospho-CoA kinase,0,5,18,3,26
COG0238,Ribosomal protein S18,1,3,13,7,24
COG0239,Integral membrane protein possibly involved in chromosome condensation,0,1,16,0,17
COG0240,Glycerol-3-phosphate dehydrogenase,0,7,19,3,29
COG0241,Histidinol phosphatase and related phosphatases,0,2,0,5,7
COG0242,N-formylmethionyl-tRNA deformylase,0,3,45,5,53
COG0243,"Anaerobic dehydrogenases, typically selenocysteine-containing",6,16,31,17,70
COG0244,Ribosomal protein L10,0,1,18,4,23
COG0245,"2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",0,1,12,1,14
COG0246,Mannitol-1-phosphate/altronate dehydrogenases,0,1,17,0,18
COG0247,Fe-S oxidoreductase,1,7,21,4,33
COG0248,Exopolyphosphatase,0,2,31,14,47
COG0249,Mismatch repair ATPase (MutS family),1,14,0,14,29
COG0250,Transcription antiterminator,1,5,17,10,33
COG0251,"Putative translation initiation inhibitor, yjgF family",0,9,26,20,55
COG0252,L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D,0,3,0,7,10
COG0253,Diaminopimelate epimerase,0,5,16,4,25
COG0254,Ribosomal protein L31,0,1,16,7,24
COG0255,Ribosomal protein L29,1,3,16,1,21
COG0256,Ribosomal protein L18,0,2,16,6,24
COG0257,Ribosomal protein L36,0,1,0,0,1
COG0258,5'-3' exonuclease (including N-terminal domain of PolI),3,3,5,7,18
COG0259,Pyridoxamine-phosphate oxidase,0,1,0,2,3
COG0260,Leucyl aminopeptidase,0,2,11,8,21
COG0261,Ribosomal protein L21,0,3,13,3,19
COG0262,Dihydrofolate reductase,1,4,76,22,103
COG0263,Glutamate 5-kinase,0,3,30,0,33
COG0264,Translation elongation factor Ts,1,3,16,7,27
COG0265,"Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain",7,12,33,45,97
COG0266,Formamidopyrimidine-DNA glycosylase,0,9,45,7,61
COG0267,Ribosomal protein L33,0,1,2,0,3
COG0268,Ribosomal protein S20,0,1,7,0,8
COG0269,3-hexulose-6-phosphate synthase and related proteins,0,0,0,0,0
COG0270,Site-specific DNA methylase,0,6,27,3,36
COG0271,Stress-induced morphogen (activity unknown),0,1,0,0,1
COG0272,NAD-dependent DNA ligase (contains BRCT domain type II),4,7,20,12,43
COG0274,Deoxyribose-phosphate aldolase,0,1,16,5,22
COG0275,Predicted S-adenosylmethionine-dependent methyltransferase involved in cell envelope biogenesis,0,2,20,5,27
COG0276,Protoheme ferro-lyase (ferrochelatase),1,1,26,10,38
COG0277,FAD/FMN-containing dehydrogenases,2,13,81,15,111
COG0278,Glutaredoxin-related protein,0,1,0,0,1
COG0279,Phosphoheptose isomerase,10,2,0,4,16
COG0280,Phosphotransacetylase,6,2,0,4,12
COG0281,Malic enzyme,1,9,23,6,39
COG0282,Acetate kinase,0,2,0,6,8
COG0283,Cytidylate kinase,0,4,17,7,28
COG0284,Orotidine-5'-phosphate decarboxylase,1,3,12,5,21
COG0285,Folylpolyglutamate synthase,0,4,15,3,22
COG0286,Type I restriction-modification system methyltransferase subunit,0,2,0,1,3
COG0287,Prephenate dehydrogenase,0,1,16,7,24
COG0288,Carbonic anhydrase,0,6,16,5,27
COG0289,Dihydrodipicolinate reductase,0,1,16,1,18
COG0290,Translation initiation factor 3 (IF-3),0,5,13,5,23
COG0291,Ribosomal protein L35,1,1,14,2,18
COG0292,Ribosomal protein L20,1,2,14,2,19
COG0293,23S rRNA methylase,0,1,0,1,2
COG0294,Dihydropteroate synthase and related enzymes,0,3,39,13,55
COG0295,Cytidine deaminase,0,0,25,0,25
COG0296,"1,4-alpha-glucan branching enzyme",3,3,0,23,29
COG0297,Glycogen synthase,1,4,0,4,9
COG0298,Hydrogenase maturation factor,0,0,0,1,1
COG0299,Folate-dependent phosphoribosylglycinamide formyltransferase PurN,0,3,15,6,24
COG0300,Short-chain dehydrogenases of various substrate specificities,0,22,36,50,108
COG0301,Thiamine biosynthesis ATP pyrophosphatase,4,4,0,1,9
COG0302,GTP cyclohydrolase I,0,2,16,3,21
COG0303,Molybdopterin biosynthesis enzyme,2,7,36,18,63
COG0304,3-oxoacyl-(acyl-carrier-protein) synthase,3,21,15,38,77
COG0305,Replicative DNA helicase,1,11,17,17,46
COG0306,Phosphate/sulphate permeases,0,7,32,8,47
COG0307,Riboflavin synthase alpha chain,0,3,15,3,21
COG0308,Aminopeptidase N,5,7,50,16,78
COG0309,Hydrogenase maturation factor,0,1,0,3,4
COG0310,"ABC-type Co2+ transport system, permease component",0,0,0,0,0
COG0311,Predicted glutamine amidotransferase involved in pyridoxine biosynthesis,0,0,17,2,19
COG0312,Predicted Zn-dependent proteases and their inactivated homologs,2,9,0,16,27
COG0313,Predicted methyltransferases,5,1,11,1,18
COG0314,"Molybdopterin converting factor, large subunit",0,1,13,5,19
COG0315,Molybdenum cofactor biosynthesis enzyme,2,1,27,3,33
COG0316,Uncharacterized conserved protein,4,5,14,7,30
COG0317,Guanosine polyphosphate pyrophosphohydrolases/synthetases,6,15,42,11,74
COG0318,Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II,3,83,223,72,381
COG0319,Predicted metal-dependent hydrolase,0,3,14,3,20
COG0320,Lipoate synthase,0,6,26,3,35
COG0321,Lipoate-protein ligase B,0,1,13,6,20
COG0322,Nuclease subunit of the excinuclease complex,3,6,20,8,37
COG0323,DNA mismatch repair enzyme (predicted ATPase),1,6,0,16,23
COG0324,tRNA delta(2)-isopentenylpyrophosphate transferase,1,2,18,8,29
COG0325,Predicted enzyme with a TIM-barrel fold,0,10,33,0,43
COG0326,"Molecular chaperone, HSP90 family",1,4,0,0,5
COG0327,Uncharacterized conserved protein,0,1,8,4,13
COG0328,Ribonuclease HI,1,2,9,2,14
COG0329,Dihydrodipicolinate synthase/N-acetylneuraminate lyase,0,16,101,14,131
COG0330,"Membrane protease subunits, stomatin/prohibitin homologs",0,8,17,13,38
COG0331,(acyl-carrier-protein) S-malonyltransferase,0,5,14,7,26
COG0332,3-oxoacyl-[acyl-carrier-protein] synthase III,2,7,58,11,78
COG0333,Ribosomal protein L32,0,1,0,0,1
COG0334,Glutamate dehydrogenase/leucine dehydrogenase,1,3,14,16,34
COG0335,Ribosomal protein L19,0,3,12,0,15
COG0336,tRNA-(guanine-N1)-methyltransferase,4,3,19,4,30
COG0337,3-dehydroquinate synthetase,0,6,22,2,30
COG0338,Site-specific DNA methylase,0,1,0,4,5
COG0339,Zn-dependent oligopeptidases,2,14,22,18,56
COG0340,Biotin-(acetyl-CoA carboxylase) ligase,0,1,16,6,23
COG0341,Preprotein translocase subunit SecF,3,2,16,5,26
COG0342,Preprotein translocase subunit SecD,0,6,17,16,39
COG0343,Queuine/archaeosine tRNA-ribosyltransferase,0,4,14,13,31
COG0344,Predicted membrane protein,3,3,0,2,8
COG0345,Pyrroline-5-carboxylate reductase,1,6,14,12,33
COG0346,Lactoylglutathione lyase and related lyases,0,1,15,6,22
COG0347,Nitrogen regulatory protein PII,0,1,0,6,7
COG0348,Polyferredoxin,0,5,0,0,5
COG0349,Ribonuclease D,0,3,13,1,17
COG0350,Methylated DNA-protein cysteine methyltransferase,1,4,16,5,26
COG0351,Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase,0,4,26,5,35
COG0352,Thiamine monophosphate synthase,1,1,13,3,18
COG0353,Recombinational DNA repair protein (RecF pathway),1,4,14,9,28
COG0354,Predicted aminomethyltransferase related to GcvT,0,2,11,2,15
COG0355,"F0F1-type ATP synthase, epsilon subunit (mitochondrial delta subunit)",0,2,12,1,15
COG0356,"F0F1-type ATP synthase, subunit a",0,6,12,5,23
COG0357,Predicted S-adenosylmethionine-dependent methyltransferase involved in bacterial cell division,0,2,14,0,16
COG0358,DNA primase (bacterial type),0,4,15,14,33
COG0359,Ribosomal protein L9,0,2,13,3,18
COG0360,Ribosomal protein S6,2,2,14,1,19
COG0361,Translation initiation factor 1 (IF-1),1,7,8,6,22
COG0362,6-phosphogluconate dehydrogenase,0,0,18,11,29
COG0363,6-phosphogluconolactonase/Glucosamine-6-phosphate isomerase/deaminase,0,2,33,8,43
COG0364,Glucose-6-phosphate 1-dehydrogenase,2,6,40,17,65
COG0365,Acyl-coenzyme A synthetases/AMP-(fatty) acid ligases,6,13,148,38,205
COG0366,Glycosidases,4,10,18,5,37
COG0367,Asparagine synthase (glutamine-hydrolyzing),6,14,7,21,48
COG0368,Cobalamin-5-phosphate synthase,0,0,0,7,7
COG0369,"Sulfite reductase, alpha subunit (flavoprotein)",0,10,0,1,11
COG0370,Fe2+ transport system protein B,1,1,0,1,3
COG0371,Glycerol dehydrogenase and related enzymes,0,0,2,4,6
COG0372,Citrate synthase,1,3,38,10,52
COG0373,Glutamyl-tRNA reductase,1,2,15,11,29
COG0374,"Ni,Fe-hydrogenase I large subunit",0,0,0,0,0
COG0375,Zn finger protein HypA/HybF (possibly regulating hydrogenase expression),0,0,0,1,1
COG0376,Catalase (peroxidase I),3,4,19,3,29
COG0377,NADH:ubiquinone oxidoreductase 20 kD subunit and related Fe-S oxidoreductases,11,2,3,14,30
COG0378,Ni2+-binding GTPase involved in regulation of expression and maturation of urease and hydrogenase,0,2,16,16,34
COG0379,Quinolinate synthase,0,3,19,4,26
COG0380,Trehalose-6-phosphate synthase,0,1,16,2,19
COG0381,UDP-N-acetylglucosamine 2-epimerase,0,3,16,10,29
COG0382,4-hydroxybenzoate polyprenyltransferase and related prenyltransferases,1,2,15,3,21
COG0383,Alpha-mannosidase,0,0,16,6,22
COG0384,"Predicted epimerase, PhzC/PhzF homolog",0,3,27,6,36
COG0385,Predicted Na+-dependent transporter,0,3,16,1,20
COG0386,Glutathione peroxidase,0,2,15,2,19
COG0387,Ca2+/H+ antiporter,0,0,0,7,7
COG0388,Predicted amidohydrolase,0,15,21,12,48
COG0389,Nucleotidyltransferase/DNA polymerase involved in DNA repair,0,1,43,11,55
COG0390,"ABC-type uncharacterized transport system, permease component",2,0,0,0,2
COG0391,Uncharacterized conserved protein,0,2,24,3,29
COG0392,Predicted integral membrane protein,0,2,0,1,3
COG0393,Uncharacterized conserved protein,0,2,0,0,2
COG0394,Protein-tyrosine-phosphatase,0,2,43,5,50
COG0395,"ABC-type sugar transport system, permease component",1,5,32,12,50
COG0396,"ABC-type transport system involved in Fe-S cluster assembly, ATPase component",1,1,10,5,17
COG0397,Uncharacterized conserved protein,0,3,0,1,4
COG0398,Uncharacterized conserved protein,0,0,14,3,17
COG0399,Predicted pyridoxal phosphate-dependent enzyme apparently involved in regulation of cell wall biogenesis,1,17,46,30,94
COG0400,Predicted esterase,0,4,32,5,41
COG0401,Uncharacterized homolog of Blt101,0,0,0,0,0
COG0402,Cytosine deaminase and related metal-dependent hydrolases,1,16,0,12,29
COG0403,"Glycine cleavage system protein P (pyridoxal-binding), N-terminal domain",6,6,1,8,21
COG0404,Glycine cleavage system T protein (aminomethyltransferase),2,10,33,16,61
COG0405,Gamma-glutamyltransferase,2,11,14,22,49
COG0406,"Fructose-2,6-bisphosphatase",0,6,87,15,108
COG0407,Uroporphyrinogen-III decarboxylase,0,5,18,1,24
COG0408,Coproporphyrinogen III oxidase,0,3,0,0,3
COG0409,Hydrogenase maturation factor,0,2,0,0,2
COG0410,"ABC-type branched-chain amino acid transport systems, ATPase component",0,11,16,3,30
COG0411,"ABC-type branched-chain amino acid transport systems, ATPase component",4,6,16,12,38
COG0412,Dienelactone hydrolase and related enzymes,0,4,29,26,59
COG0413,Ketopantoate hydroxymethyltransferase,0,6,19,4,29
COG0414,Panthothenate synthetase,0,6,15,5,26
COG0415,Deoxyribodipyrimidine photolyase,0,2,25,8,35
COG0416,Fatty acid/phospholipid biosynthesis enzyme,0,6,2,7,15
COG0417,DNA polymerase elongation subunit (family B),5,8,1,11,25
COG0418,Dihydroorotase,4,1,0,0,5
COG0419,ATPase involved in DNA repair,0,3,26,3,32
COG0420,DNA repair exonuclease,1,2,24,3,30
